   19     0 [  4]         sqllang!CSQLSatelliteConnection::GetNextMessage
   29    19 [  3]       sqllang!CSQLSatelliteCommunication::WaitForAckMessage
   45     0 [  4]         sqllang!CSQLSatelliteCommunication::BindReadSNIPacket
   64    64 [  3]       sqllang!CSQLSatelliteCommunication::WaitForAckMessage
   17     0 [  4]         sqllang!CSQLSatelliteMessage::FireXEvent
   70    81 [  3]       sqllang!CSQLSatelliteCommunication::WaitForAckMessage
   16     0 [  4]         sqllang!MessageTelemetry::Record
   78    97 [  3]       sqllang!CSQLSatelliteCommunication::WaitForAckMessage
   60     0 [  4]         sqllang!CSQLSatelliteConnection::FreePackets
   98   157 [  3]       sqllang!CSQLSatelliteCommunication::WaitForAckMessage
  109  2337 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
    8     0 [  3]       sqllang!CSQLSatelliteCommunication::~CSQLSatelliteCommunication
   10     0 [  4]         sqllang!CSQLSatelliteMessageArgument::~CSQLSatelliteMessageArgument
   20    10 [  3]       sqllang!CSQLSatelliteCommunication::~CSQLSatelliteCommunication
  116  2367 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
   11     0 [  3]       sqllang!ExternalSessionLoginInfoStore::RemoveSessionLoginInfo
   52     0 [  4]         sqllang!GetHashCodeForLoginInfo
   26    52 [  3]       sqllang!ExternalSessionLoginInfoStore::RemoveSessionLoginInfo
    2     0 [  4]         sqldk!SystemThread::GetCurrentId
   42    54 [  3]       sqllang!ExternalSessionLoginInfoStore::RemoveSessionLoginInfo
    2     0 [  4]         sqllang!ExternalSessionLoginInfo::CompareExternalSessionLoginInfos
   83     0 [  4]         sqllang!CompareLoginInfos
   63   139 [  3]       sqllang!ExternalSessionLoginInfoStore::RemoveSessionLoginInfo
   31     0 [  4]         sqllang!ExternalSessionLoginInfo::`scalar deleting destructor'
   70   170 [  3]       sqllang!ExternalSessionLoginInfoStore::RemoveSessionLoginInfo
  119  2607 [  2]     sqllang!CUDXR_ExternalScript::ShutdownService
    9     0 [  3]       sqllang!CSQLSatelliteConnection::AbortConnection
   14     0 [  4]         sqllang!_chkstk
   22    14 [  3]       sqllang!CSQLSatelliteConnection::AbortConnection
    2     0 [  4]         sqldk!GetDefaultLocale
   28    16 [  3]       sqllang!CSQLSatelliteConnection::AbortConnection
   58     0 [  4]         MSVCR120!_vsnwprintf_l
   39    74 [  3]       sqllang!CSQLSatelliteConnection::AbortConnection
   32     0 [  4]         sqllang!EventInternal<SuspendQueueSLock>::SignalAll
   42   106 [  3]       sqllang!CSQLSatelliteConnection::AbortConnection
   32     0 [  4]         sqllang!EventInternal<SuspendQueueSLock>::SignalAll
