   20     0 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
   95     0 [  4]         sqllang!SNIPacketAllocateEx2
   49    95 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
   17     0 [  4]         sqllang!CSQLSatelliteMessage::FireXEvent
   67   112 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
   26     0 [  4]         MSVCR120!memcpy_s
   69   138 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
   35     0 [  4]         sqllang!GetSatelliteSessionContext
   79   173 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
    9     0 [  4]         sqllang!CSQLSatelliteConnection::PostWriteRequest
   53     0 [  4]         sqllang!CSQLSatelliteConnection::WriteMessage
   85   235 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
   10     0 [  4]         sqllang!CSQLSatelliteConnection::WaitWriteDone
   97   245 [  3]       sqllang!CSQLSatelliteCommunication::SendAckMessage
  338  1914 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
    8     0 [  3]       sqllang!CSQLSatelliteCommunication::~CSQLSatelliteCommunication
   10     0 [  4]         sqllang!CSQLSatelliteMessageArgument::~CSQLSatelliteMessageArgument
   52    10 [  3]       sqllang!CSQLSatelliteCommunication::~CSQLSatelliteCommunication
  342  1976 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
    6     0 [  3]       sqllang!_security_check_cookie
  352  1982 [  2]     sqllang!CServerCargoContext::ReceiveOneDataChunk
  100  2410 [  1]   sqllang!CServerCargoContext::ReadOneRow
    6     0 [  2]     sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
   27     0 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
   17     0 [  4]         sqllang!CSQLSatelliteMessage::FireXEvent
   52    17 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
   71     0 [  4]         sqllang!CSatelliteHub::LocateSatellite
   60    88 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
   12     0 [  4]         sqllang!CAutoRefc<CSatelliteProxy>::~CAutoRefc<CSatelliteProxy>
   70   100 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
    6     0 [  4]         sqllang!_security_check_cookie
   75   106 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
   17   181 [  2]     sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
   63     0 [  3]       sqllang!CSQLSatelliteMessageDataChunk::ReadPayloadHeader
   25   244 [  2]     sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
  119  2679 [  1]   sqllang!CServerCargoContext::ReadOneRow
    6     0 [  2]     sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
   27     0 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
   17     0 [  4]         sqllang!CSQLSatelliteMessage::FireXEvent
   52    17 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
   71     0 [  4]         sqllang!CSatelliteHub::LocateSatellite
   60    88 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
   12     0 [  4]         sqllang!CAutoRefc<CSatelliteProxy>::~CAutoRefc<CSatelliteProxy>
   70   100 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
    6     0 [  4]         sqllang!_security_check_cookie
   75   106 [  3]       sqllang!CSQLSatelliteMessage::BindBufferForRead
   17   181 [  2]     sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
   63     0 [  3]       sqllang!CSQLSatelliteMessageDataChunk::ReadPayloadHeader
   25   244 [  2]     sqllang!CSQLSatelliteMessageDataChunk::BindBufferForRead
  138  2948 [  1]   sqllang!CServerCargoContext::ReadOneRow
   54     0 [  2]     sqllang!CSQLSatelliteMessageDataChunk::ReadData
   21     0 [  3]       sqllang!SQLDataReaderTargetRow::TargetBufferPtr
   83    21 [  2]     sqllang!CSQLSatelliteMessageDataChunk::ReadData
   18     0 [  3]       MSVCR120!memcpy_s
    9     0 [  4]         MSVCR120!memcpy
    4     0 [  4]         MSVCR120!MoveSmall
   26    13 [  3]       MSVCR120!memcpy_s
