    7     0 [ 10]                     KERNEL32!TlsGetValue
   53     8 [  9]                   sqldk!SystemTimerRequest::Resume
    1     0 [ 10]                     sqldk!memset
  526     0 [ 10]                     MSVCR120!memset
   85   535 [  9]                   sqldk!SystemTimerRequest::Resume
   20     0 [ 10]                     sqldk!WorkDispatcher::EnqueueTask
    1     0 [ 11]                       KERNEL32!QueryPerformanceCounterStub
   20     0 [ 11]                       ntdll!RtlQueryPerformanceCounter
   46    21 [ 10]                     sqldk!WorkDispatcher::EnqueueTask
    1     0 [ 11]                       KERNEL32!QueryPerformanceCounterStub
   20     0 [ 11]                       ntdll!RtlQueryPerformanceCounter
   88    42 [ 10]                     sqldk!WorkDispatcher::EnqueueTask
   11     0 [ 11]                       sqldk!SOS_Scheduler::ResumeNoCuzz
    1     0 [ 12]                         KERNEL32!QueryPerformanceCounterStub
   20     0 [ 12]                         ntdll!RtlQueryPerformanceCounter
   19    21 [ 11]                       sqldk!SOS_Scheduler::ResumeNoCuzz
   47     0 [ 12]                         sqldk!SOS_Scheduler::PrepareWorkerForResume
    1     0 [ 13]                           KERNEL32!TlsGetValueStub
    7     0 [ 13]                           KERNEL32!TlsGetValue
   74     8 [ 12]                         sqldk!SOS_Scheduler::PrepareWorkerForResume
   17     0 [ 13]                           sqldk!SOS_RingBuffer::StoreRecordInternalWithoutEvent
    1     0 [ 14]                             KERNEL32!QueryPerformanceCounterStub
   20     0 [ 14]                             ntdll!RtlQueryPerformanceCounter
   37    21 [ 13]                           sqldk!SOS_RingBuffer::StoreRecordInternalWithoutEvent
    1     0 [ 14]                             sqldk!memcpy
  101     0 [ 14]                             MSVCR120!memcpy
   47   123 [ 13]                           sqldk!SOS_RingBuffer::StoreRecordInternalWithoutEvent
   82   178 [ 12]                         sqldk!SOS_Scheduler::PrepareWorkerForResume
   42   281 [ 11]                       sqldk!SOS_Scheduler::ResumeNoCuzz
   22     0 [ 12]                         sqldk!SOS_Scheduler::RunnableQueueInsert
   66     0 [ 13]                           sqldk!SchedulerPoolData::CalculateBandwidthForRunnableWorker
   30    66 [ 12]                         sqldk!SOS_Scheduler::RunnableQueueInsert
   38     0 [ 13]                           sqldk!GroupWorkerQueue::Enqueue
    1     0 [ 14]                             KERNEL32!QueryPerformanceCounterStub
   20     0 [ 14]                             ntdll!RtlQueryPerformanceCounter
   45    21 [ 13]                           sqldk!GroupWorkerQueue::Enqueue
    1     0 [ 14]                             KERNEL32!QueryPerformanceCounterStub
   20     0 [ 14]                             ntdll!RtlQueryPerformanceCounter
   52    42 [ 13]                           sqldk!GroupWorkerQueue::Enqueue
   37   160 [ 12]                         sqldk!SOS_Scheduler::RunnableQueueInsert
