   39     0 [  5]           sqllang!CSQLSatelliteCommunication::Init
   14     0 [  6]             sqllang!CAutoRg<CSQLSatelliteMessageDataChunk>::operator=
   44    14 [  5]           sqllang!CSQLSatelliteCommunication::Init
   14     0 [  6]             sqllang!CAutoRg<_SQLSatellite_ColumnSchema>::operator=
   54    28 [  5]           sqllang!CSQLSatelliteCommunication::Init
    6     0 [  6]             sqllang!_security_check_cookie
   64    34 [  5]           sqllang!CSQLSatelliteCommunication::Init
   45   248 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
    8     0 [  5]           sqllang!CSQL_RowChunk::FreePackets
   53   256 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
   10     0 [  5]           sqllang!CSQLSatelliteConnection::GetNextMessage
   14     0 [  6]             sqllang!CSQLSatelliteConnection::RetrieveMessage
    2     0 [  7]               sqldk!SystemThread::GetCurrentId
   53     2 [  6]             sqllang!CSQLSatelliteConnection::RetrieveMessage
   19    55 [  5]           sqllang!CSQLSatelliteConnection::GetNextMessage
   70   330 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
    7     0 [  5]           sqllang!CSQLSatelliteCommunication::GetSQLSatelliteMessage
   77   337 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
    4     0 [  5]           sqllang!CSQLSatelliteMessageChunkEnd::BindBufferForRead
   27     0 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
   14     0 [  7]               sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  8]                 sqllang!_security_check_cookie
   17     6 [  7]               sqllang!CSQLSatelliteMessage::FireXEvent
   52    23 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
   28     0 [  7]               sqllang!CSatelliteHub::LocateSatellite
    2     0 [  8]                 sqldk!SystemThread::GetCurrentId
   46     2 [  7]               sqllang!CSatelliteHub::LocateSatellite
    9     0 [  8]                 sqllang!CSatelliteHub::~CSatelliteHub
   71    11 [  7]               sqllang!CSatelliteHub::LocateSatellite
   60   105 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
   12     0 [  7]               sqllang!CAutoRefc<CSatelliteProxy>::~CAutoRefc<CSatelliteProxy>
   70   117 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
    6     0 [  7]               sqllang!_security_check_cookie
   75   123 [  6]             sqllang!CSQLSatelliteMessage::BindBufferForRead
   32   198 [  5]           sqllang!CSQLSatelliteMessageChunkEnd::BindBufferForRead
  109   567 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
   14     0 [  5]           sqllang!CSQLSatelliteMessage::FireXEvent
    6     0 [  6]             sqllang!_security_check_cookie
   17     6 [  5]           sqllang!CSQLSatelliteMessage::FireXEvent
  115   590 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
   16     0 [  5]           sqllang!MessageTelemetry::Record
  123   606 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
   50     0 [  5]           sqllang!CSQLSatelliteConnection::FreePackets
   11     0 [  6]             sqllang!SNIMemRegion::Push
    2     0 [  7]               sqldk!SystemThread::GetCurrentId
   38     2 [  6]             sqllang!SNIMemRegion::Push
   60    40 [  5]           sqllang!CSQLSatelliteConnection::FreePackets
  134   706 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
    8     0 [  5]           sqllang!CSQLSatelliteCommunication::~CSQLSatelliteCommunication
   10     0 [  6]             sqllang!CSQLSatelliteMessageArgument::~CSQLSatelliteMessageArgument
   20    10 [  5]           sqllang!CSQLSatelliteCommunication::~CSQLSatelliteCommunication
  138   736 [  4]         sqllang!CServerCargoContext::ReceiveOneDataChunk
    6     0 [  5]           sqllang!_security_check_cookie
