
-- Straight SELECT
02 00000041`08bfbd50 00007ff9`ff3c52f4 sqldk!ExceptionBackout::GetCurrentException+0x385
03 00000041`08bfbf30 00007ff9`ff3c4f9a sqldk!ex_raise2+0x52f
04 00000041`08bfc260 00007ff9`ff8c8529 sqldk!ex_raise+0xc4
05 00000041`08bfc2e0 00007ff9`ff8a4462 sqlTsEs!ESArithErrorHandler+0x159
06 00000041`08bfc340 00007ff9`ff871d87 sqlTsEs!CTEsArith<3,56,56,1,0>::RsltArithArgArg+0x94
07 00000041`08bfc390 00007ff9`faf5ba98 sqlTsEs!CEsExec::GeneralEval4+0xe7
08 00000041`08bfc460 00007ff9`fccb669b sqllang!CUDXR_ExternalScript::PushRow+0x78
09 00000041`08bfc490 00007ff9`fccb62d9 sqlmin!CQScanUdx::PushNextChildRow+0x13b
0a 00000041`08bfc4e0 00007ff9`fc385a2f sqlmin!CQScanUdx::GetRow+0x79
0b 00000041`08bfc520 00007ff9`f9db2b67 sqlmin!CQueryScan::GetRow+0x81
0c 00000041`08bfc550 00007ff9`f9db2d25 sqllang!CXStmtQuery::ErsqExecuteQuery+0x4dc
0d 00000041`08bfc6d0 00007ff9`f9db105a sqllang!CXStmtSelect::XretExecute+0x322
0e 00000041`08bfc7a0 00007ff9`f9db2553 sqllang!CMsqlExecContext::ExecuteStmts<1,1>+0x40d
0f 00000041`08bfc8e0 00007ff9`f9db1bf1 sqllang!CMsqlExecContext::FExecute+0xa9e
10 00000041`08bfcc10 00007ff9`faa5e2de sqllang!CSQLSource::Execute+0x983
11 00000041`08bfcdb0 00007ff9`faa69da5 sqllang!SpExecuteExternalScript+0x140e
12 00000041`08bfd5c0 00007ff9`faa6923c sqllang!CSpecProc::ExecuteSpecial+0x355
13 00000041`08bfd6c0 00007ff9`fa1902f0 sqllang!CXProc::Execute+0x10c
14 00000041`08bfdcb0 00007ff9`faaa657d sqllang!CSQLSource::Execute+0xab8
15 00000041`08bfde50 00007ff9`faaa5f81 sqllang!CStmtExecProc::XretLocalExec+0x26e
16 00000041`08bfded0 00007ff9`faaa2cd8 sqllang!CStmtExecProc::XretExecExecute+0x481
17 00000041`08bfe680 00007ff9`f9db105a sqllang!CXStmtExecProc::XretExecute+0x38
18 00000041`08bfe6c0 00007ff9`f9db2553 sqllang!CMsqlExecContext::ExecuteStmts<1,1>+0x40d
19 00000041`08bfe800 00007ff9`f9db1bf1 sqllang!CMsqlExecContext::FExecute+0xa9e
