2018-11-02 13:50:02.0572 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:08.0001 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:13.0385 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:18.0816 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:24.0243 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:29.0636 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:35.0042 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:40.0454 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:45.0887 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:51.0292 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:50:57.0339 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:51:02.0802 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:51:08.0383 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:51:14.0549 UTC [INFO    ] Waiting for controller pod to be up...
2018-11-02 13:51:20.0684 UTC [INFO    ] Controller pod is running.
2018-11-02 13:51:20.0785 UTC [INFO    ] Controller Endpoint: https://10.0.0.22:30080
2018-11-02 13:51:20.0786 UTC [DEBUG   ] [RequestId 362c2862-b8f5-49e4-93d0-4c4829e7712a] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:51:20.0788 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:51:20.0939 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:51:20.0940 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:51:25.0943 UTC [DEBUG   ] [RequestId cff78d08-e3bc-4255-9632-60c9b1fcfd21] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:51:25.0944 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:51:25.0957 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:51:25.0958 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:51:30.0959 UTC [DEBUG   ] [RequestId 75566e31-7178-4899-917f-535f8667a810] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:51:30.0960 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:51:30.0972 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:51:30.0973 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:51:35.0975 UTC [DEBUG   ] [RequestId 2e43b979-99a8-4c95-a573-0d512cd731cb] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:51:35.0976 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:51:35.0988 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:51:35.0989 UTC [INFO    ] Waiting for controller to be ready...
2018-11-02 13:51:40.0991 UTC [DEBUG   ] [RequestId 270f415f-b8e8-4572-9e67-c723edd839b0] Sending Get request to 'https://10.0.0.22:30080'
2018-11-02 13:51:40.0992 UTC [DEBUG   ] Starting new HTTPS connection (1): 10.0.0.22:30080
2018-11-02 13:51:41.0007 UTC [DEBUG   ] https://10.0.0.22:30080 "GET / HTTP/1.1" 502 182
2018-11-02 13:51:41.0008 UTC [INFO    ] Waiting for controller to be ready...
